Month,Price,Forecast,Price,Lower,Upper
ene-17,52.5,NA,NA,NA,NA
feb-17,53.47,NA,NA,NA,NA
mar-17,49.33,NA,NA,NA,NA
abr-17,51.06,NA,NA,NA,NA
may-17,48.48,NA,NA,NA,NA
jun-17,45.18,NA,NA,NA,NA
jul-17,46.63,NA,NA,NA,NA
ago-17,48.04,NA,NA,NA,NA
sep-17,49.82,NA,NA,NA,NA
oct-17,51.58,NA,NA,NA,NA
nov-17,56.64,NA,NA,NA,NA
dic-17,57.88,NA,NA,NA,NA
ene-18,63.7,NA,NA,NA,NA
feb-18,62.23,NA,NA,NA,NA
mar-18,62.73,NA,NA,NA,NA
abr-18,66.25,NA,NA,NA,NA
may-18,69.98,NA,NA,NA,NA
jun-18,67.87,NA,NA,NA,NA
jul-18,70.98,NA,NA,NA,NA
ago-18,68.06,NA,NA,NA,NA
sep-18,70.23,NA,NA,NA,NA
oct-18,70.75,NA,NA,NA,NA
nov-18,56.96,NA,NA,NA,NA
dic-18,49.52,NA,NA,NA,NA
ene-19,51.38,NA,NA,NA,NA
feb-19,54.95,NA,NA,NA,NA
mar-19,58.15,NA,NA,NA,NA
abr-19,63.86,NA,NA,NA,NA
may-19,60.83,NA,NA,NA,NA
jun-19,54.66,NA,NA,NA,NA
jul-19,57.35,NA,NA,NA,NA
ago-19,54.81,NA,NA,NA,NA
sep-19,56.95,NA,NA,NA,NA
oct-19,53.96,NA,NA,NA,NA
nov-19,57.03,NA,NA,NA,NA
dic-19,59.88,NA,NA,NA,NA
ene-20,57.52,NA,NA,NA,NA
feb-20,50.54,NA,NA,NA,NA
mar-20,29.21,NA,NA,NA,NA
abr-20,16.55,NA,NA,NA,NA
may-20,28.56,NA,NA,NA,NA
jun-20,38.31,NA,NA,NA,NA
jul-20,40.71,NA,NA,NA,NA
ago-20,42.34,NA,NA,NA,NA
sep-20,39.63,NA,NA,NA,NA
oct-20,39.4,NA,NA,NA,NA
nov-20,40.94,NA,NA,NA,NA
dic-20,47.02,NA,NA,NA,NA
ene-21,52,NA,NA,NA,NA
feb-21,59.04,NA,NA,NA,NA
mar-21,62.33,NA,NA,NA,NA
abr-21,61.72,NA,NA,NA,NA
may-21,65.17,NA,NA,NA,NA
jun-21,71.38,NA,NA,NA,NA
jul-21,72.49,NA,NA,NA,NA
ago-21,67.73,NA,NA,NA,NA
sep-21,71.65,NA,NA,NA,NA
oct-21,81.48,NA,NA,NA,NA
nov-21,79.15,NA,NA,NA,NA
dic-21,71.71,NA,NA,NA,NA
ene-22,83.22,NA,NA,NA,NA
feb-22,91.64,NA,NA,NA,NA
mar-22,108.5,NA,NA,NA,NA
abr-22,101.78,101.78,NA,NA,NA
may-22,NA,102,NA,NA,NA
jun-22,NA,101.5,NA,NA,NA
jul-22,NA,99.5,104.04,73.23,147.82
ago-22,NA,99,102.15,65.05,160.42
sep-22,NA,98,100.17,58.52,171.46
oct-22,NA,97,98.26,54.49,177.21
nov-22,NA,97.5,96.51,51.1,182.27
dic-22,NA,96.5,94.86,48.31,186.3
ene-23,NA,97,93.33,46.17,188.67
feb-23,NA,95,91.9,44.46,189.95
mar-23,NA,94,90.6,42.82,191.69
abr-23,NA,93,89.4,NA,NA
may-23,NA,93,88.31,NA,NA
jun-23,NA,92,87.34,38.84,196.41
jul-23,NA,92,86.39,NA,NA
ago-23,NA,92,85.49,NA,NA
sep-23,NA,92,84.63,NA,NA
oct-23,NA,93,83.84,NA,NA
nov-23,NA,93,83.13,NA,NA
dic-23,NA,93,82.45,33.51,202.89
